   TIME[S]      V-OUT[V]     I-OUT[A]     V-SET[V]     I-SET[A]
 0004.836303  0010.000000  0000.000000  0010.000000  0000.400000
 0004.847606  0010.000000  0000.000000  0010.000000  0000.400000
 0004.858906  0009.900000  0000.009000  0010.000000  0000.400000
 0004.870100  0009.900000  0000.000000  0010.000000  0000.400000
 0004.881427  0009.900000  0000.000000  0010.000000  0000.400000
 0004.892647  0009.900000  0000.000000  0010.000000  0000.400000
 0004.903980  0010.000000  0000.000000  0010.000000  0000.400000
 0004.915134  0009.900000  0000.000000  0010.000000  0000.400000
 0004.926554  0009.900000  0000.000000  0010.000000  0000.400000
 0004.937796  0009.900000  0000.000000  0010.000000  0000.400000
 0004.949281  0009.900000  0000.000000  0010.000000  0000.400000
 0004.960628  0009.900000  0000.000000  0010.000000  0000.400000
 0004.971909  0010.000000  0000.000000  0010.000000  0000.400000
 0004.983350  0009.900000  0000.008000  0010.000000  0000.400000
 0004.996834  0009.900000  0000.010000  0010.000000  0000.400000
 0005.008255  0009.900000  0000.007000  0010.000000  0000.400000
 0005.019649  0009.900000  0000.000000  0010.000000  0000.400000
 0005.031016  0009.900000  0000.000000  0010.000000  0000.400000
 0005.042227  0009.900000  0000.007000  0010.000000  0000.400000
 0005.053551  0010.000000  0000.000000  0010.000000  0000.400000
 0005.064734  0010.000000  0000.006000  0010.000000  0000.400000
 0005.075992  0010.000000  0000.000000  0010.000000  0000.400000
 0005.087368  0010.000000  0000.000000  0010.000000  0000.400000
 0005.098535  0010.000000  0000.000000  0010.000000  0000.400000
