Charge equilibration on step 0
  iteration: 24, enegtot 10.8039, enegmax 0.0279517, fq deviation: 0.00196435
  iteration: 25, enegtot 10.8039, enegmax 0.0255712, fq deviation: 0.00181106
  iteration: 26, enegtot 10.8038, enegmax 0.0229759, fq deviation: 0.00172654
  iteration: 27, enegtot 10.8038, enegmax 0.0214123, fq deviation: 0.00168593
  iteration: 28, enegtot 10.8038, enegmax 0.022608, fq deviation: 0.00161722
  iteration: 29, enegtot 10.8038, enegmax 0.022475, fq deviation: 0.00151202
  iteration: 30, enegtot 10.8038, enegmax 0.0211197, fq deviation: 0.00138535
  iteration: 31, enegtot 10.8038, enegmax 0.018757, fq deviation: 0.00130657
  iteration: 32, enegtot 10.8038, enegmax 0.015683, fq deviation: 0.001274
  iteration: 33, enegtot 10.8038, enegmax 0.013172, fq deviation: 0.00124622
  iteration: 34, enegtot 10.8039, enegmax 0.0140347, fq deviation: 0.00121035
  iteration: 35, enegtot 10.8039, enegmax 0.0142686, fq deviation: 0.00116294
  iteration: 36, enegtot 10.8039, enegmax 0.0135448, fq deviation: 0.00111573
  iteration: 37, enegtot 10.8039, enegmax 0.0124505, fq deviation: 0.00106704
Charges converged in 38 iterations to 0.0009940083 tolerance
Charge equilibration on step 50
  iteration: 0, enegtot 10.8038, enegmax 0.114026, fq deviation: 0.00342947
  iteration: 1, enegtot 10.8038, enegmax 0.106351, fq deviation: 0.00290751
  iteration: 2, enegtot 10.8038, enegmax 0.0920978, fq deviation: 0.00224428
  iteration: 3, enegtot 10.8038, enegmax 0.0727454, fq deviation: 0.00175311
  iteration: 4, enegtot 10.8038, enegmax 0.0502679, fq deviation: 0.00171474
  iteration: 5, enegtot 10.8038, enegmax 0.0270635, fq deviation: 0.00182194
  iteration: 6, enegtot 10.8038, enegmax 0.0364482, fq deviation: 0.00194264
